                                             A ZAMS Stellar Model
                                             --------------------

                                             M    =     1.00000 solar
                                             L    =     0.85900 solar
                                             R    =     1.05991 solar
                                             Teff =  5402.00000 K
                                             X    =     0.70000
                                             Y    =     0.29200
                                             Z    =     0.00800



 zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps    dlnPdlnT
    0  7.372E+08  0.000E+00  0.000E+00  3.298E+26  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  r 99.9
    1  7.364E+08  1.356E-01  3.908E-14  3.298E+26  3.167E+03  6.818E-01  1.548E-08  2.376E+01  9.409-108  r  1.0
    2  7.364E+08  1.356E-01  1.087E-13  3.298E+26  8.562E+03  5.669E+00  4.290E-08  1.686E+00  2.147E-79  c  1.7
    3  7.357E+08  1.356E-01  1.890E-13  3.298E+26  1.397E+04  1.143E+01  1.041E-08  1.299E-01  2.378E-69  c  1.4
    4  7.350E+08  1.356E-01  3.413E-13  3.298E+26  1.939E+04  2.244E+01  9.552E-08  2.136E-01  3.560E-62  c  2.3
    5  7.342E+08  1.356E-01  5.700E-13  3.298E+26  2.210E+04  3.900E+01  2.492E-08  9.525E-02  9.292E-63  r 99.9
    6  7.335E+08  1.356E-01  8.575E-13  3.298E+26  2.210E+04  5.992E+01  3.604E-08  8.602E-02  2.662E-60  r 99.9
    7  7.328E+08  1.356E-01  8.834E-13  3.298E+26  2.210E+04  6.181E+01  7.299E-10  3.629E-02  5.390E-62  r 99.9
    8  7.320E+08  1.356E-01  8.991E-13  3.298E+26  2.210E+04  6.295E+01  1.023E-08  5.299E-02  7.554E-61  r 99.9
    9  7.313E+08  1.356E-01  9.323E-13  3.298E+26  2.210E+04  6.540E+01  1.781E-08  6.359E-02  1.315E-60  r 99.9
   10  7.305E+08  1.356E-01  9.932E-13  3.298E+26  2.210E+04  6.992E+01  3.328E-08  8.281E-02  2.457E-60  r 99.9
   11  7.298E+08  1.356E-01  1.107E-12  3.298E+26  2.210E+04  7.835E+01  6.195E-08  1.143E-01  4.575E-60  r 99.9
   12  7.291E+08  1.356E-01  1.318E-12  3.298E+26  2.210E+04  9.408E+01  1.155E-07  1.662E-01  8.532E-60  r 99.9
   13  7.283E+08  1.356E-01  1.711E-12  3.298E+26  2.210E+04  1.235E+02  2.156E-07  2.519E-01  1.594E-59  r 99.9
   14  7.276E+08  1.356E-01  2.444E-12  3.298E+26  2.210E+04  1.786E+02  4.029E-07  3.934E-01  2.984E-59  r 99.9
   15  7.269E+08  1.356E-01  3.812E-12  3.298E+26  2.210E+04  2.818E+02  7.539E-07  6.273E-01  5.616E-59  r 99.9
   16  7.261E+08  1.356E-01  6.367E-12  3.298E+26  2.211E+04  4.753E+02  1.411E-06  1.013E+00  1.070E-58  r 99.9
   17  7.254E+08  1.356E-01  1.114E-11  3.298E+26  2.214E+04  8.383E+02  2.641E-06  1.644E+00  2.109E-58  r 99.9
   18  7.246E+08  1.356E-01  2.004E-11  3.298E+26  2.223E+04  1.518E+03  4.928E-06  2.651E+00  4.600E-58  r 99.9
   19  7.239E+08  1.356E-01  3.653E-11  3.298E+26  2.248E+04  2.783E+03  9.092E-06  4.143E+00  1.328E-57  r 52.1
   20  7.232E+08  1.356E-01  6.649E-11  3.298E+26  2.313E+04  5.089E+03  1.630E-05  5.967E+00  7.340E-57  r 20.5
   21  7.224E+08  1.356E-01  1.187E-10  3.298E+26  2.447E+04  9.126E+03  2.773E-05  7.477E+00  1.114E-55  r 10.0
   22  7.217E+08  1.356E-01  2.044E-10  3.298E+26  2.654E+04  1.578E+04  4.421E-05  8.147E+00  3.925E-54  r  6.5
   23  7.210E+08  1.356E-01  3.368E-10  3.298E+26  2.911E+04  2.609E+04  6.662E-05  8.166E+00  1.784E-52  r  5.2
   24  7.202E+08  1.356E-01  5.313E-10  3.298E+26  3.194E+04  4.131E+04  9.612E-05  7.921E+00  6.849E-51  r  4.8
   25  7.195E+08  1.356E-01  8.063E-10  3.298E+26  3.489E+04  6.292E+04  1.340E-04  7.604E+00  1.950E-49  r  4.6
   26  7.187E+08  1.356E-01  1.183E-09  3.298E+26  3.790E+04  9.267E+04  1.817E-04  7.281E+00  4.101E-48  r  4.5
   27  7.180E+08  1.356E-01  1.687E-09  3.298E+26  4.094E+04  1.326E+05  2.407E-04  6.976E+00  6.553E-47  r  4.5
   28  7.173E+08  1.356E-01  2.346E-09  3.298E+26  4.400E+04  1.850E+05  3.126E-04  6.695E+00  8.230E-46  r  4.5
   29  7.165E+08  1.356E-01  3.193E-09  3.298E+26  4.708E+04  2.526E+05  3.990E-04  6.437E+00  8.385E-45  r  4.5
   30  7.158E+08  1.356E-01  4.262E-09  3.298E+26  5.016E+04  3.384E+05  5.017E-04  6.202E+00  7.122E-44  r  4.5
   31  7.151E+08  1.356E-01  5.595E-09  3.298E+26  5.326E+04  4.457E+05  6.225E-04  5.987E+00  5.162E-43  r  4.5
   32  7.143E+08  1.356E-01  7.235E-09  3.298E+26  5.636E+04  5.784E+05  7.633E-04  5.790E+00  3.255E-42  r  4.5
   33  7.136E+08  1.356E-01  9.232E-09  3.298E+26  5.947E+04  7.405E+05  9.263E-04  5.609E+00  1.815E-41  r  4.5
   34  7.129E+08  1.356E-01  1.164E-08  3.298E+26  6.258E+04  9.366E+05  1.113E-03  5.441E+00  9.073E-41  r  4.5
   35  7.121E+08  1.356E-01  1.451E-08  3.298E+26  6.571E+04  1.172E+06  1.327E-03  5.286E+00  4.115E-40  r  4.6
   36  7.114E+08  1.356E-01  1.791E-08  3.298E+26  6.884E+04  1.452E+06  1.569E-03  5.141E+00  1.710E-39  r  4.6
   37  7.106E+08  1.356E-01  2.191E-08  3.298E+26  7.197E+04  1.782E+06  1.842E-03  5.007E+00  6.568E-39  r  4.6
   38  7.099E+08  1.356E-01  2.658E-08  3.298E+26  7.512E+04  2.169E+06  2.149E-03  4.881E+00  2.349E-38  r  4.6
   39  7.092E+08  1.356E-01  3.200E-08  3.298E+26  7.827E+04  2.620E+06  2.492E-03  4.763E+00  7.875E-38  r  4.6
   40  7.084E+08  1.356E-01  3.826E-08  3.298E+26  8.143E+04  3.143E+06  2.873E-03  4.652E+00  2.488E-37  r  4.6
   41  7.077E+08  1.356E-01  4.543E-08  3.298E+26  8.460E+04  3.745E+06  3.296E-03  4.548E+00  7.449E-37  r  4.6
   42  7.070E+08  1.356E-01  5.363E-08  3.298E+26  8.777E+04  4.436E+06  3.763E-03  4.449E+00  2.122E-36  r  4.6
   43  7.062E+08  1.356E-01  6.295E-08  3.298E+26  9.095E+04  5.225E+06  4.277E-03  4.356E+00  5.772E-36  r  4.6
   44  7.055E+08  1.356E-01  7.349E-08  3.298E+26  9.414E+04  6.121E+06  4.841E-03  4.267E+00  1.505E-35  r  4.6
   45  7.047E+08  1.356E-01  8.538E-08  3.298E+26  9.733E+04  7.136E+06  5.459E-03  4.184E+00  3.775E-35  r  4.6
   46  7.040E+08  1.356E-01  9.873E-08  3.298E+26  1.005E+05  8.280E+06  6.133E-03  4.104E+00  9.127E-35  r  4.6
   47  7.033E+08  1.356E-01  1.137E-07  3.298E+26  1.037E+05  9.567E+06  6.867E-03  4.028E+00  2.133E-34  r  4.6
   48  7.025E+08  1.356E-01  1.303E-07  3.298E+26  1.070E+05  1.101E+07  7.664E-03  3.956E+00  4.832E-34  r  4.6
   49  7.018E+08  1.356E-01  1.489E-07  3.298E+26  1.102E+05  1.262E+07  8.528E-03  3.887E+00  1.062E-33  r  4.6
   50  7.011E+08  1.356E-01  1.694E-07  3.298E+26  1.134E+05  1.441E+07  9.461E-03  3.821E+00  2.272E-33  r  4.6
   51  7.003E+08  1.356E-01  1.922E-07  3.298E+26  1.166E+05  1.640E+07  1.047E-02  3.757E+00  4.735E-33  r  4.6
   52  6.996E+08  1.356E-01  2.172E-07  3.298E+26  1.199E+05  1.860E+07  1.155E-02  3.697E+00  9.631E-33  r  4.6
   53  6.988E+08  1.356E-01  2.448E-07  3.298E+26  1.231E+05  2.103E+07  1.272E-02  3.639E+00  1.914E-32  r  4.6
   54  6.981E+08  1.356E-01  2.750E-07  3.298E+26  1.264E+05  2.371E+07  1.397E-02  3.583E+00  3.724E-32  r  4.6
   55  6.974E+08  1.356E-01  3.081E-07  3.298E+26  1.297E+05  2.666E+07  1.532E-02  3.529E+00  7.096E-32  r  4.6
   56  6.966E+08  1.356E-01  3.443E-07  3.298E+26  1.329E+05  2.990E+07  1.675E-02  3.477E+00  1.326E-31  r  4.6
   57  6.959E+08  1.356E-01  3.838E-07  3.298E+26  1.362E+05  3.344E+07  1.829E-02  3.428E+00  2.435E-31  r  4.6
   58  6.952E+08  1.356E-01  4.267E-07  3.298E+26  1.395E+05  3.731E+07  1.992E-02  3.380E+00  4.391E-31  r  4.6
   59  6.944E+08  1.356E-01  4.733E-07  3.298E+26  1.428E+05  4.153E+07  2.167E-02  3.333E+00  7.792E-31  r  4.6
   60  6.937E+08  1.356E-01  5.239E-07  3.298E+26  1.461E+05  4.613E+07  2.352E-02  3.289E+00  1.361E-30  r  4.6
   61  6.929E+08  1.356E-01  5.786E-07  3.298E+26  1.494E+05  5.113E+07  2.550E-02  3.245E+00  2.342E-30  r  4.6
   62  6.922E+08  1.356E-01  6.378E-07  3.298E+26  1.527E+05  5.655E+07  2.759E-02  3.204E+00  3.975E-30  r  4.6
   63  6.915E+08  1.356E-01  7.016E-07  3.298E+26  1.560E+05  6.243E+07  2.981E-02  3.163E+00  6.653E-30  r  4.6
   64  6.907E+08  1.356E-01  7.703E-07  3.298E+26  1.594E+05  6.879E+07  3.216E-02  3.124E+00  1.100E-29  r  4.6
   65  6.900E+08  1.356E-01  8.443E-07  3.298E+26  1.627E+05  7.566E+07  3.465E-02  3.086E+00  1.795E-29  r  4.6
   66  6.893E+08  1.356E-01  9.237E-07  3.298E+26  1.661E+05  8.307E+07  3.727E-02  3.049E+00  2.895E-29  r  4.6
   67  6.885E+08  1.356E-01  1.009E-06  3.298E+26  1.694E+05  9.105E+07  4.005E-02  3.014E+00  4.619E-29  r  4.6
   68  6.878E+08  1.356E-01  1.100E-06  3.298E+26  1.728E+05  9.965E+07  4.298E-02  2.979E+00  7.288E-29  r  4.6
   69  6.870E+08  1.356E-01  1.198E-06  3.298E+26  1.761E+05  1.089E+08  4.607E-02  2.945E+00  1.138E-28  r  4.6
   70  6.863E+08  1.356E-01  1.303E-06  3.298E+26  1.795E+05  1.188E+08  4.932E-02  2.913E+00  1.760E-28  r  4.6
   71  6.856E+08  1.356E-01  1.414E-06  3.298E+26  1.829E+05  1.294E+08  5.274E-02  2.881E+00  2.696E-28  r  4.6
   72  6.848E+08  1.356E-01  1.533E-06  3.298E+26  1.863E+05  1.408E+08  5.633E-02  2.850E+00  4.092E-28  r  4.6
   73  6.841E+08  1.356E-01  1.660E-06  3.298E+26  1.897E+05  1.530E+08  6.011E-02  2.820E+00  6.157E-28  r  4.6
   74  6.834E+08  1.356E-01  1.795E-06  3.298E+26  1.931E+05  1.660E+08  6.408E-02  2.790E+00  9.186E-28  r  4.6
   75  6.826E+08  1.356E-01  1.938E-06  3.298E+26  1.965E+05  1.799E+08  6.824E-02  2.762E+00  1.359E-27  r  4.6
   76  6.819E+08  1.356E-01  2.090E-06  3.298E+26  1.999E+05  1.948E+08  7.260E-02  2.734E+00  1.996E-27  r  4.6
   77  6.812E+08  1.356E-01  2.252E-06  3.298E+26  2.034E+05  2.106E+08  7.718E-02  2.707E+00  2.908E-27  r  4.6
   78  6.804E+08  1.356E-01  2.423E-06  3.298E+26  2.068E+05  2.274E+08  8.196E-02  2.681E+00  4.207E-27  r  4.6
   79  6.797E+08  1.356E-01  2.605E-06  3.298E+26  2.102E+05  2.453E+08  8.697E-02  2.655E+00  6.043E-27  r  4.6
   80  6.789E+08  1.356E-01  2.797E-06  3.298E+26  2.137E+05  2.643E+08  9.220E-02  2.630E+00  8.622E-27  r  4.6
   81  6.782E+08  1.356E-01  3.000E-06  3.298E+26  2.171E+05  2.845E+08  9.768E-02  2.605E+00  1.222E-26  r  4.6
   82  6.775E+08  1.356E-01  3.214E-06  3.298E+26  2.206E+05  3.060E+08  1.034E-01  2.581E+00  1.721E-26  r  4.6
   83  6.767E+08  1.356E-01  3.441E-06  3.298E+26  2.241E+05  3.287E+08  1.094E-01  2.557E+00  2.410E-26  r  4.6
   84  6.760E+08  1.356E-01  3.680E-06  3.298E+26  2.276E+05  3.529E+08  1.156E-01  2.534E+00  3.353E-26  r  4.6
   85  6.753E+08  1.356E-01  3.932E-06  3.298E+26  2.311E+05  3.784E+08  1.221E-01  2.512E+00  4.640E-26  r  4.6
   86  6.745E+08  1.356E-01  4.198E-06  3.298E+26  2.346E+05  4.054E+08  1.288E-01  2.490E+00  6.385E-26  r  4.6
   87  6.738E+08  1.356E-01  4.477E-06  3.298E+26  2.381E+05  4.339E+08  1.359E-01  2.469E+00  8.739E-26  r  4.6
   88  6.730E+08  1.356E-01  4.771E-06  3.298E+26  2.416E+05  4.641E+08  1.432E-01  2.448E+00  1.190E-25  r  4.6
   89  6.723E+08  1.356E-01  5.080E-06  3.298E+26  2.451E+05  4.960E+08  1.508E-01  2.427E+00  1.612E-25  r  4.6
   90  6.716E+08  1.356E-01  5.405E-06  3.298E+26  2.486E+05  5.296E+08  1.588E-01  2.407E+00  2.173E-25  r  4.6
   91  6.708E+08  1.356E-01  5.746E-06  3.298E+26  2.522E+05  5.650E+08  1.670E-01  2.387E+00  2.915E-25  r  4.6
   92  6.701E+08  1.356E-01  6.104E-06  3.298E+26  2.557E+05  6.024E+08  1.756E-01  2.368E+00  3.894E-25  r  4.6
   93  6.694E+08  1.356E-01  6.479E-06  3.298E+26  2.593E+05  6.418E+08  1.845E-01  2.349E+00  5.177E-25  r  4.6
   94  6.686E+08  1.356E-01  6.872E-06  3.298E+26  2.628E+05  6.832E+08  1.938E-01  2.330E+00  6.853E-25  r  4.6
   95  6.679E+08  1.356E-01  7.284E-06  3.298E+26  2.664E+05  7.268E+08  2.034E-01  2.312E+00  9.033E-25  r  4.6
   96  6.671E+08  1.356E-01  7.716E-06  3.298E+26  2.700E+05  7.727E+08  2.134E-01  2.294E+00  1.186E-24  r  4.6
   97  6.664E+08  1.356E-01  8.167E-06  3.298E+26  2.736E+05  8.209E+08  2.237E-01  2.277E+00  1.551E-24  r  4.6
   98  6.657E+08  1.356E-01  8.639E-06  3.298E+26  2.772E+05  8.715E+08  2.344E-01  2.259E+00  2.020E-24  r  4.6
   99  6.649E+08  1.356E-01  9.133E-06  3.298E+26  2.808E+05  9.247E+08  2.455E-01  2.243E+00  2.621E-24  r  4.6
  100  6.642E+08  1.356E-01  9.649E-06  3.298E+26  2.844E+05  9.805E+08  2.571E-01  2.226E+00  3.388E-24  r  4.6
  101  6.635E+08  1.356E-01  1.019E-05  3.298E+26  2.880E+05  1.039E+09  2.690E-01  2.210E+00  4.364E-24  r  4.6
  102  6.627E+08  1.356E-01  1.075E-05  3.298E+26  2.916E+05  1.100E+09  2.813E-01  2.194E+00  5.602E-24  r  4.6
  103  6.620E+08  1.356E-01  1.134E-05  3.298E+26  2.953E+05  1.165E+09  2.941E-01  2.178E+00  7.167E-24  r  4.6
  104  6.612E+08  1.356E-01  1.195E-05  3.298E+26  2.989E+05  1.232E+09  3.073E-01  2.163E+00  9.138E-24  r  4.6
  105  6.605E+08  1.356E-01  1.258E-05  3.298E+26  3.026E+05  1.303E+09  3.210E-01  2.147E+00  1.161E-23  r  4.6
  106  6.598E+08  1.356E-01  1.325E-05  3.298E+26  3.062E+05  1.376E+09  3.351E-01  2.133E+00  1.472E-23  r  4.6
  107  6.590E+08  1.356E-01  1.394E-05  3.298E+26  3.099E+05  1.454E+09  3.498E-01  2.118E+00  1.859E-23  r  4.6
  108  6.583E+08  1.356E-01  1.466E-05  3.298E+26  3.136E+05  1.534E+09  3.649E-01  2.103E+00  2.341E-23  r  4.6
  109  6.576E+08  1.356E-01  1.541E-05  3.298E+26  3.173E+05  1.619E+09  3.805E-01  2.089E+00  2.939E-23  r  4.6
  110  6.568E+08  1.356E-01  1.619E-05  3.298E+26  3.210E+05  1.707E+09  3.966E-01  2.075E+00  3.679E-23  r  4.6
  111  6.561E+08  1.356E-01  1.700E-05  3.298E+26  3.247E+05  1.799E+09  4.132E-01  2.062E+00  4.594E-23  r  4.6
  112  6.554E+08  1.356E-01  1.784E-05  3.298E+26  3.284E+05  1.895E+09  4.304E-01  2.048E+00  5.720E-23  r  4.6
  113  6.546E+08  1.356E-01  1.872E-05  3.298E+26  3.321E+05  1.996E+09  4.481E-01  2.035E+00  7.103E-23  r  4.6
  114  6.539E+08  1.356E-01  1.963E-05  3.298E+26  3.358E+05  2.100E+09  4.664E-01  2.022E+00  8.798E-23  r  4.6
  115  6.531E+08  1.356E-01  2.057E-05  3.298E+26  3.396E+05  2.210E+09  4.853E-01  2.009E+00  1.087E-22  r  4.6
  116  6.524E+08  1.356E-01  2.155E-05  3.298E+26  3.433E+05  2.324E+09  5.047E-01  1.996E+00  1.340E-22  r  4.6
  117  6.517E+08  1.356E-01  2.257E-05  3.298E+26  3.471E+05  2.442E+09  5.248E-01  1.984E+00  1.647E-22  r  4.6
  118  6.509E+08  1.356E-01  2.362E-05  3.298E+26  3.508E+05  2.566E+09  5.455E-01  1.971E+00  2.020E-22  r  4.6
  119  6.502E+08  1.356E-01  2.472E-05  3.298E+26  3.546E+05  2.695E+09  5.668E-01  1.959E+00  2.471E-22  r  4.6
  120  6.495E+08  1.356E-01  2.585E-05  3.298E+26  3.584E+05  2.829E+09  5.887E-01  1.947E+00  3.017E-22  r  4.6
  121  6.487E+08  1.356E-01  2.703E-05  3.298E+26  3.622E+05  2.969E+09  6.113E-01  1.936E+00  3.675E-22  r  4.6
  122  6.480E+08  1.356E-01  2.824E-05  3.298E+26  3.660E+05  3.114E+09  6.346E-01  1.924E+00  4.467E-22  r  4.6
  123  6.472E+08  1.356E-01  2.950E-05  3.298E+26  3.698E+05  3.265E+09  6.585E-01  1.913E+00  5.418E-22  r  4.6
  124  6.465E+08  1.356E-01  3.081E-05  3.298E+26  3.736E+05  3.422E+09  6.832E-01  1.901E+00  6.558E-22  r  4.6
  125  6.458E+08  1.356E-01  3.216E-05  3.298E+26  3.774E+05  3.586E+09  7.086E-01  1.890E+00  7.921E-22  r  4.6
  126  6.450E+08  1.356E-01  3.355E-05  3.298E+26  3.813E+05  3.756E+09  7.347E-01  1.879E+00  9.549E-22  r  4.6
  127  6.443E+08  1.356E-01  3.500E-05  3.298E+26  3.851E+05  3.932E+09  7.615E-01  1.869E+00  1.149E-21  r  4.6
  128  6.436E+08  1.356E-01  3.649E-05  3.298E+26  3.889E+05  4.116E+09  7.892E-01  1.858E+00  1.379E-21  r  4.6
  129  6.428E+08  1.356E-01  3.804E-05  3.298E+26  3.928E+05  4.306E+09  8.176E-01  1.847E+00  1.653E-21  r  4.6
  130  6.421E+08  1.356E-01  3.963E-05  3.298E+26  3.967E+05  4.504E+09  8.468E-01  1.837E+00  1.978E-21  r  4.6
  131  6.413E+08  1.356E-01  4.128E-05  3.298E+26  4.006E+05  4.709E+09  8.768E-01  1.827E+00  2.362E-21  r  4.6
  132  6.406E+08  1.356E-01  4.298E-05  3.298E+26  4.044E+05  4.922E+09  9.076E-01  1.817E+00  2.815E-21  r  4.6
  133  6.399E+08  1.356E-01  4.474E-05  3.298E+26  4.083E+05  5.143E+09  9.393E-01  1.807E+00  3.350E-21  r  4.6
  134  6.391E+08  1.356E-01  4.656E-05  3.298E+26  4.123E+05  5.372E+09  9.719E-01  1.797E+00  3.980E-21  r  4.6
  135  6.384E+08  1.356E-01  4.843E-05  3.298E+26  4.162E+05  5.610E+09  1.005E+00  1.787E+00  4.720E-21  r  4.6
  136  6.377E+08  1.356E-01  5.037E-05  3.298E+26  4.201E+05  5.856E+09  1.040E+00  1.778E+00  5.588E-21  r  4.6
  137  6.369E+08  1.356E-01  5.236E-05  3.298E+26  4.240E+05  6.111E+09  1.075E+00  1.768E+00  6.605E-21  r  4.6
  138  6.362E+08  1.356E-01  5.442E-05  3.298E+26  4.280E+05  6.376E+09  1.111E+00  1.759E+00  7.795E-21  r  4.6
  139  6.354E+08  1.356E-01  5.654E-05  3.298E+26  4.319E+05  6.650E+09  1.148E+00  1.750E+00  9.186E-21  r  4.6
  140  6.347E+08  1.356E-01  5.873E-05  3.298E+26  4.359E+05  6.934E+09  1.186E+00  1.741E+00  1.081E-20  r  4.6
  141  6.340E+08  1.356E-01  6.098E-05  3.298E+26  4.399E+05  7.227E+09  1.226E+00  1.732E+00  1.270E-20  r  4.6
  142  6.332E+08  1.356E-01  6.331E-05  3.298E+26  4.439E+05  7.532E+09  1.266E+00  1.723E+00  1.489E-20  r  4.6
  143  6.325E+08  1.356E-01  6.570E-05  3.298E+26  4.478E+05  7.847E+09  1.307E+00  1.714E+00  1.745E-20  r  4.6
  144  6.318E+08  1.356E-01  6.816E-05  3.298E+26  4.518E+05  8.173E+09  1.349E+00  1.705E+00  2.041E-20  r  4.6
  145  6.310E+08  1.356E-01  7.070E-05  3.298E+26  4.559E+05  8.510E+09  1.392E+00  1.697E+00  2.383E-20  r  4.6
  146  6.303E+08  1.356E-01  7.332E-05  3.298E+26  4.599E+05  8.859E+09  1.437E+00  1.688E+00  2.780E-20  r  4.6
  147  6.295E+08  1.356E-01  7.601E-05  3.298E+26  4.639E+05  9.219E+09  1.482E+00  1.680E+00  3.239E-20  r  4.6
  148  6.288E+08  1.356E-01  7.878E-05  3.298E+26  4.679E+05  9.592E+09  1.529E+00  1.672E+00  3.768E-20  r  4.6
  149  6.281E+08  1.356E-01  8.163E-05  3.298E+26  4.720E+05  9.978E+09  1.577E+00  1.663E+00  4.377E-20  r  4.6
  150  6.273E+08  1.356E-01  8.456E-05  3.298E+26  4.761E+05  1.038E+10  1.626E+00  1.655E+00  5.079E-20  r  4.6
  151  6.266E+08  1.356E-01  8.757E-05  3.298E+26  4.801E+05  1.079E+10  1.676E+00  1.647E+00  5.886E-20  r  4.6
  152  6.259E+08  1.356E-01  9.067E-05  3.298E+26  4.842E+05  1.121E+10  1.728E+00  1.639E+00  6.813E-20  r  4.6
  153  6.251E+08  1.356E-01  9.386E-05  3.298E+26  4.883E+05  1.165E+10  1.780E+00  1.632E+00  7.876E-20  r  4.6
  154  6.244E+08  1.356E-01  9.714E-05  3.298E+26  4.924E+05  1.211E+10  1.834E+00  1.624E+00  9.093E-20  r  4.6
  155  6.237E+08  1.356E-01  1.005E-04  3.298E+26  4.965E+05  1.258E+10  1.889E+00  1.616E+00  1.049E-19  r  4.6
  156  6.229E+08  1.356E-01  1.040E-04  3.298E+26  5.006E+05  1.306E+10  1.946E+00  1.609E+00  1.208E-19  r  4.6
  157  6.222E+08  1.356E-01  1.075E-04  3.298E+26  5.047E+05  1.356E+10  2.004E+00  1.601E+00  1.390E-19  r  4.6
  158  6.214E+08  1.356E-01  1.112E-04  3.298E+26  5.089E+05  1.408E+10  2.063E+00  1.594E+00  1.598E-19  r  4.6
  159  6.207E+08  1.356E-01  1.149E-04  3.298E+26  5.130E+05  1.461E+10  2.124E+00  1.587E+00  1.834E-19  r  4.6
  160  6.200E+08  1.356E-01  1.188E-04  3.298E+26  5.172E+05  1.516E+10  2.186E+00  1.579E+00  2.103E-19  r  4.6
  161  6.192E+08  1.356E-01  1.227E-04  3.298E+26  5.214E+05  1.572E+10  2.250E+00  1.572E+00  2.410E-19  r  4.6
  162  6.185E+08  1.356E-01  1.268E-04  3.298E+26  5.255E+05  1.631E+10  2.315E+00  1.565E+00  2.757E-19  r  4.6
  163  6.178E+08  1.356E-01  1.310E-04  3.298E+26  5.297E+05  1.691E+10  2.381E+00  1.558E+00  3.152E-19  r  4.6
  164  6.170E+08  1.356E-01  1.352E-04  3.298E+26  5.339E+05  1.753E+10  2.450E+00  1.551E+00  3.600E-19  r  4.6
  165  6.163E+08  1.356E-01  1.396E-04  3.298E+26  5.381E+05  1.817E+10  2.519E+00  1.544E+00  4.107E-19  r  4.6
  166  6.155E+08  1.356E-01  1.441E-04  3.298E+26  5.424E+05  1.883E+10  2.590E+00  1.537E+00  4.681E-19  r  4.6
  167  6.148E+08  1.356E-01  1.488E-04  3.298E+26  5.466E+05  1.951E+10  2.663E+00  1.531E+00  5.330E-19  r  4.6
  168  6.141E+08  1.356E-01  1.535E-04  3.298E+26  5.508E+05  2.022E+10  2.738E+00  1.524E+00  6.063E-19  r  4.6
  169  6.133E+08  1.356E-01  1.583E-04  3.298E+26  5.551E+05  2.094E+10  2.814E+00  1.517E+00  6.890E-19  r  4.6
  170  6.126E+08  1.356E-01  1.633E-04  3.298E+26  5.593E+05  2.168E+10  2.892E+00  1.511E+00  7.823E-19  r  4.6
  171  6.119E+08  1.356E-01  1.684E-04  3.298E+26  5.636E+05  2.245E+10  2.972E+00  1.504E+00  8.874E-19  r  4.6
  172  6.111E+08  1.356E-01  1.737E-04  3.298E+26  5.679E+05  2.324E+10  3.053E+00  1.498E+00  1.006E-18  r  4.6
  173  6.104E+08  1.356E-01  1.790E-04  3.298E+26  5.722E+05  2.405E+10  3.136E+00  1.492E+00  1.139E-18  r  4.6
  174  6.096E+08  1.356E-01  1.845E-04  3.298E+26  5.765E+05  2.489E+10  3.221E+00  1.485E+00  1.288E-18  r  4.6
  175  6.089E+08  1.356E-01  1.902E-04  3.298E+26  5.808E+05  2.575E+10  3.308E+00  1.479E+00  1.456E-18  r  4.6
  176  6.082E+08  1.356E-01  1.959E-04  3.298E+26  5.851E+05  2.664E+10  3.397E+00  1.473E+00  1.644E-18  r  4.6
  177  6.074E+08  1.356E-01  2.018E-04  3.298E+26  5.895E+05  2.756E+10  3.487E+00  1.467E+00  1.856E-18  r  4.6
  178  6.067E+08  1.356E-01  2.079E-04  3.298E+26  5.938E+05  2.850E+10  3.580E+00  1.461E+00  2.092E-18  r  4.6
  179  6.060E+08  1.356E-01  2.141E-04  3.298E+26  5.982E+05  2.946E+10  3.675E+00  1.455E+00  2.357E-18  r  4.6
  180  6.052E+08  1.356E-01  2.204E-04  3.298E+26  6.025E+05  3.046E+10  3.771E+00  1.449E+00  2.653E-18  r  4.6
  181  6.045E+08  1.356E-01  2.269E-04  3.298E+26  6.069E+05  3.148E+10  3.870E+00  1.443E+00  2.984E-18  r  4.6
  182  6.037E+08  1.356E-01  2.336E-04  3.298E+26  6.113E+05  3.254E+10  3.971E+00  1.437E+00  3.353E-18  r  4.6
  183  6.030E+08  1.356E-01  2.404E-04  3.298E+26  6.157E+05  3.362E+10  4.074E+00  1.431E+00  3.766E-18  r  4.6
  184  6.023E+08  1.356E-01  2.473E-04  3.298E+26  6.201E+05  3.473E+10  4.179E+00  1.426E+00  4.225E-18  r  4.6
  185  6.015E+08  1.356E-01  2.544E-04  3.298E+26  6.245E+05  3.588E+10  4.286E+00  1.420E+00  4.738E-18  r  4.6
  186  6.008E+08  1.356E-01  2.617E-04  3.298E+26  6.290E+05  3.706E+10  4.396E+00  1.414E+00  5.308E-18  r  4.6
  187  6.001E+08  1.356E-01  2.692E-04  3.298E+26  6.334E+05  3.827E+10  4.507E+00  1.409E+00  5.943E-18  r  4.6
  188  5.993E+08  1.356E-01  2.768E-04  3.298E+26  6.379E+05  3.951E+10  4.621E+00  1.403E+00  6.649E-18  r  4.6
  189  5.986E+08  1.356E-01  2.846E-04  3.298E+26  6.423E+05  4.079E+10  4.738E+00  1.398E+00  7.433E-18  r  4.6
  190  5.979E+08  1.356E-01  2.926E-04  3.298E+26  6.468E+05  4.211E+10  4.857E+00  1.392E+00  8.305E-18  r  4.6
  191  5.971E+08  1.356E-01  3.007E-04  3.298E+26  6.513E+05  4.346E+10  4.978E+00  1.387E+00  9.271E-18  r  4.6
