pl_pnum	pl_orbper	pl_orbsmax	pl_orbeccen	pl_orbincl	pl_bmassj	st_metfe
2	3.052404	0.04	0.026	89.4	0.94	0.06
1	2.828042	0.04016	0.07	85.48	0.917	0.16
1	2.8126548	0.04024	0.471	87.1	0.92	0.39
1	3.126096	0.0405		84.686	1.002	0.5
1	3.0440499	0.04057	0.181	88.55	0.543	0.05
1	2.465295	0.0406	0	88.26	1.85	-0.25
1	2.985698	0.0406	0.012		0.398	0.35
3	5.3686	0.04061	0		0.0497	-0.25
1	2.788491	0.04075	0	86.75	1.06	0.24
2	4.164389	0.041				0.126
2	3.244107	0.041				-0.191
1	3.3098443	0.04101	0.03	87.08	2.132	0.22
1	3.799847	0.04117	0.074	87.04	0.76	-0.127
1	2.7033904	0.04122	0	84.23	1.477	0.044
1	2.8792319	0.04127	0	88.74	4.32	0.377
1	2.77596	0.0413	0.036	86.6	4.193	0.17
1	3.1810781	0.04131	0.202	86.17	0.672	0.01
1	3.21222	0.0414	0.016	86.9	2.147	0.24
1	3.21751883	0.0414	0.18	85.74	0.34	-0.21
1	3.36100208	0.0414	0.054	88.38	0.485	-0.15
5	3.6001053	0.04178	0.16	88		-0.55
1	2.810595	0.0419	0.035	83.6	0.711	0.13
3	3.33616	0.042				0.169
4	3.468095	0.042				-0.165
3	3.282807	0.042				-0.441
1	3.1186009	0.0421	0	85.22	0.855	
1	2.7325321	0.04211	0	81.18	1.47	0.07
1	3.2588321	0.04217	0.066	86.656	0.73	0.16
1	2.7908327	0.0423	0.246	82.13	2.18	-0.077
1	2.694047	0.0426	0	87.7	0.8	
2	3.0965828	0.0426	0.0103		0.523	0.16
1	2.9776412	0.04263	0	85.74	0.899	0.18
1	3.3564227	0.0427	0.193	89.4	5.9	0.15
1	2.78578	0.042717	0.02	83.2	0.01598	-0.03
2	3.8728	0.0428	0		0.027	-0.14
3	3.162697	0.043				-0.107
1	2.9895932	0.04317	0	83.16	0.902	-0.116
1	3.161575	0.04317	0	87.96	0.72	
1	3.52563254	0.0433	0.22	89.36	1.27	0.09
1	3.257215	0.0434	0.051	88	0.626	0.12
1	3.101278	0.0434		90	0.62	
1	3.7224747	0.0435	0	88.6	0.487	
1	3.1743516	0.04354	0.096	86.84	0.706	0.06
1	2.99433	0.0436	0	83.17	2.33	-0.03
1	2.972086	0.04363	0.09	86.2	0.783	0.035
1	2.691548	0.0438	0	86.2	1.73	0.074
1	3.4442	0.044	0		0.48	0.16
4	3.179997	0.044				-0.092
5	3.428054	0.044				-0.136
