pl_discmethod	pl_pnum	st_metfe	pl_orbper	pl_orbeccen	pl_orbincl	pl_bmassj	pl_bmassprov	pl_radj	pl_dens	st_teff	st_mass	st_rad	st_logg	st_lum	st_dens	st_metfe
Transit	1	0.06	5.79180156					0.15		6319	1.25	1.4	4.24			0.06
Transit	1	-0.04	26.548955					0.095		5550	0.92	0.89	4.5			-0.04
Transit	1	0.04	3.38555488					0.136		6297	1.23	1.39	4.24			0.04
Transit	1	0.08	5.49548621					0.084		5618	0.97	0.95	4.47			0.08
Transit	1	0.02	2.6157554					0.107		5808	1.01	1	4.44			0.02
Transit	1	0.08	6.9424334					0.115		5892	1.06	1.08	4.4			0.08
Transit	1	-0.07	2.55314213					0.117		5667	0.95	0.92	4.49			-0.07
Transit	1	0.05	6.98471973					0.093		5876	1.05	1.06	4.4			0.05
Transit	1	0	6.30560247					0.101		4862	0.78	0.74	4.6			0
Transit	1	-0.13	1.45088691					0.093		5545	0.9	0.86	4.53			-0.13
Transit	1	0.11	0.84990789					0.075		4584	0.75	0.7	4.63			0.11
Transit	1	0.12	56.6449279					0.188		6228	1.47	2.15	3.94			0.12
Transit	1	0.07	6.28385491					0.071		6022	1.12	1.23	4.31			0.07
Transit	1	0.48	4.83817712					0.133		3208	0.28	0.3	4.93			0.48
Transit	1	-0.07	9.32807355					0.054		5645	0.94	0.91	4.49			-0.07
Transit	1	0	13.3997099					0.144		6069	1.1	1.13	4.37			0
Transit	1	0.08	3.5827463					0.16		5538	0.94	0.91	4.5			0.08
Transit	1	0.06	15.6049212					0.136		6681	1.45	1.75	4.12			0.06
Transit	1	0.07	9.4060467					0.119		5933	1.08	1.22	4.3			0.07
Transit	1	-0.14	7.84931739					0.068		5817	0.96	0.99	4.43			-0.14
Transit	1	0.08	0.99166527					0.097		6166	1.18	1.25	4.32			0.08
Transit	1	0.03	7.61760804					0.102		6053	1.11	1.16	4.35			0.03
Transit	1	0.01	8.18504949					0.113		6082	1.1	1.16	4.35			0.01
Transit	1	0.04	3.05710069					0.137		6213	1.18	1.28	4.29			0.04
Transit	1	0.02	174.509835					0.283		4995	0.81	0.77	4.59			0.02
Transit	1	0.03	2.71603809					0.095		5946	1.06	1.08	4.39			0.03
Transit	1	-0.02	4.56380468					0.11		5203	0.84	0.8	4.56			-0.02
Transit	1	-0.11	66.373379					0.17		5706	0.95	0.92	4.49			-0.11
Transit	1	0.02	2.94654179					0.095		6377	1.25	1.39	4.24			0.02
Transit	1	0.04	4.34195123					0.085		5940	1.07	1.09	4.39			0.04
Transit	1	0.02	122.363553					0.145		5767	0.99	0.99	4.45			0.02
Transit	1	-0.3	228.776	0.0069	90.032	0.333	Mass	0.754	0.964	4450	0.69	0.65	4.65		3.563	-0.3
Transit	1	0.07	386.370548					0.279		5214	0.86	0.82	4.55			0.07
Transit	1	0.05	2.20921951					0.073		5869	1.04	1.07	4.4			0.05
Transit	1	0.02	11.17931605					0.12		6296	1.22	1.36	4.25			0.02
Transit	1	0.07	2.27163926					0.115		6241	1.21	1.31	4.28			0.07
Transit	1	0.02	0.68368426					0.126		4976	0.81	0.76	4.59			0.02
Transit	1	-0.01	85.7565495					0.096		5280	0.86	0.82	4.55			-0.01
Transit	1	0.01	196.435224					0.185		5422	0.9	0.86	4.53			0.01
Transit	1	0.05	13.6473676					0.082		6116	1.14	1.21	4.33			0.05
Transit	1	-0.24	16.4735686					0.154		4992	0.75	0.72	4.61			-0.24
Transit	1	0.1	114.34219					0.198		6132	1.18	1.27	4.29			0.1
Transit	1	0.1	8.70181574					0.144		5383	0.91	0.87	4.52			0.1
Transit	1	0.01	5.1762429					0.072		5605	0.94	0.93	4.49			0.01
Transit	1	0.03	3.91795101					0.092		5643	0.96	0.94	4.48			0.03
Transit	1	0.01	1.5184299					0.186		6005	1.08	1.12	4.37			0.01
Transit	1	-0.17	3.9466141					0.133		5121	0.79	0.76	4.58			-0.17
Transit	1	0.06	47.3126192					0.184		5865	1.04	1.05	4.42			0.06
Transit	1	0.02	6.76284377					0.091		6266	1.21	1.34	4.26			0.02
Transit	1	0.01	27.4785572					0.107		6167	1.15	1.22	4.32			0.01
Transit	1	0.04	6.10826019					0.112		6620	1.41	1.65	4.15			0.04
Transit	1	-0.07	23.6225913					0.068		5852	1	1	4.44			-0.07
Transit	1	0.03	101.951829					0.144		6157	1.15	1.23	4.31			0.03
Transit	1	0.03	92.263714					0.193		6158	1.15	1.24	4.31			0.03
Transit	1	0.04	10.8118737					0.131		6436	1.31	1.5	4.2			0.04
Transit	1	0.04	4.36128348					0.117		5772	1	1	4.44			0.04
Transit	1	0.06	3.29030452					0.509		3636	0.5	0.47	4.78			0.06
Transit	1	0.01	287.378949					0.541		5677	0.96	0.94	4.48			0.01
Transit	1	0.04	4.13962966					0.18		6826	1.51	1.85	4.08			0.04
Transit	1	-0.1	7.20283653					0.329		5445	0.87	0.84	4.54			-0.1
Transit	1	0.17	76.378033					0.574		3724	0.55	0.52	4.74			0.17
Transit	1	0.05	3.87595807					0.069		5776	1.01	1.01	4.44			0.05
Transit	1	-0.46	509.997402					0.195		4736	0.66	0.63	4.66			-0.46
Transit	1	0.04	4.09513932					0.12		5679	0.97	0.95	4.47			0.04
Transit	1	0	448.303558					0.22		6137	1.12	1.19	4.33			0
Transit	1	0.02	186.404271					0.141		6256	1.2	1.32	4.27			0.02
Transit	1	0.02	374.876239					0.285		5474	0.92	0.89	4.51			0.02
Transit	1	0.06	469.63111					0.325		5347	0.89	0.85	4.53			0.06
Transit	1	0.03	425.47785					0.288		5797	1.01	1.02	4.43			0.03
Transit	1	0.07	6.10960324					0.079		5789	1.02	1.02	4.43			0.07
Transit	1	-0.01	259.33683					0.167		5710	0.97	0.95	4.47			-0.01
Transit	1	-0.03	9.878482					0.23		6150	1.12	1.18	4.34			-0.03
Transit	1	0.1	7.5844126					0.43		6324	1.27	1.43	4.23			0.1
Transit	1	-0.01	5.34264507					0.205		5508	0.92	0.88	4.52			-0.01
Transit	1	-0.1	21.0907758					0.168		5499	0.89	0.86	4.53			-0.1
Transit	1	0.04	16.1779561					0.159		5812	1.02	1.02	4.43			0.04
Transit	1	0.04	4.48558383					0.11		3299	0.24	0.26	5.01			0.04
Transit	1	-0.14	1107.5923	0.0581	90.097	1.51968	Mass	1.059		6210	1.22	1.79	4.02			-0.14
Transit	1	-0.15	8.68909	0	89.57			0.096		3240	0.22	0.25	4.98			-0.15
Transit	1	-0.11	1.53818001	0.01				0.086		3410	0.33	0.33		-1.871	8.73	-0.11
Transit	1	-0.16	9.87863917	0.13				0.164		3713	0.52	0.5		-1.368	4.1	-0.16
Transit	1	0.26	1.4857108	0.011	87.2	2.45	Mass	1.31	1.35	5781	1.16	1.05	4.53		1.415	0.26
Transit	1	-0.03	2.78578	0.02	83.2	0.01598	Mass	0.146	6.4	6305	1.41	1.9	4.03	0.715	0.287	-0.03
Transit	1	-0.29	289.8623	0	89.764	0.113	Mass	0.212	14.7	5518	0.97	0.98	4.44	-0.102	1.458	-0.29
Transit	1	-0.07	288.822	0.182	90.355	0.22	Mass	0.764	0.613	5913	1.05	1.16	4.33	0.173		-0.07
Transit	1	-0.34	131.458	0.042	90.76	0.127	Mass	0.728	0.41	5606	0.89	1.03	4.36	-0.027		-0.34
Transit	1	-0.11	105.599	0.032	89.442	0.384	Mass	0.384		5623	0.94	1.75	3.93		0.175	-0.11
Transit	1	0.1	21.08721	0.112	89.07	20.1	Mass	1.24	13	6350	1.29	1.4	4.4		0.66	0.1
Transit	1	0.17	3.21346	0	89.76	0.077	Mass	0.357	1.91	5857	1.22	1.49	4.17	0.354		0.17
Transit	1	0.1	6.87349	0	89.7	2.2	Mass	1.17	1.68	6510	1.48	2.13	3.94		0.213	0.1
Transit	1	-0.2	2.46502					0.073		6104	1.08	1.23	4.29		0.82	-0.2
Transit	1	0.08	68.9584					0.106		5460	0.92	0.89	4.5		1.81	0.08
Transit	1	0.38	1.8555582	0	82.51	0.56	Mass	1.29	0.33	5750	1.15	1.29	4.28		0.754	0.38
Transit	1	0.01	17.833648	0.17	87.72			0.253		6273	1.21	1.35	4.26	0.435	0.693	0.01
Transit	1	0.27	1.7208604		80.559	0.941	Mass	1.341	0.52	5750	1.17	1.29	4.3			0.27
Transit	1	-0.2	66.262	0.1181	89.929	0.211	Mass	0.388	3.2	4700	0.82	0.78	4.57		1.755	-0.2
Transit	1	-0.05	86.67856	0.2	89.952	1.1	Mass	1.2		5820	0.98	1.09	4.35		1.51	-0.05
Transit	1	-0.25	704.1984	0.041	89.965			0.371		5308	0.79	0.76	4.61	-0.398	1.58	-0.25
Transit	1	0.23	7.8914483			0.43	Mass	1.15	0.38	5972	1.15	1.24	4.31	0.24	0.86	0.23
Transit	1	-0.1	2.6843285	0.019	87.828	0.595	Mass	1.192	0.459	5560	0.85	0.95	4.41		1.398	-0.1
Transit	1	0.24	3.79701816	0.33	87.02	0.25	Mass	0.978	0.27	5170	0.93	0.86	4.54	-0.323	1.448	0.24
Transit	1	-0.21	3.21751883	0.18	85.74	0.34	Mass	1.09	0.26	5725	0.91	0.92	4.47	-0.089	1.17	-0.21
Transit	1	-0.19	10.290994	0.57	89.5	0.29	Mass	1.23	0.16	5800	0.96	1.35	4.14	0.29	0.4	-0.19
Transit	1	0.09	3.52563254	0.22	89.36	1.27	Mass	1.08	1.02	5150	0.87	0.8	4.57	-0.39	1.704	0.09
Transit	1	0.33	3.0240949		84.646	3.23	Mass	1.219	5	6041	1.32	1.42	4.26			0.33
Transit	1	-0.01	5.33408384	0.119	89.21	2.82	Mass	1.45	1.13	6360	1.46	2.26	3.89	0.88	0.177	-0.01
Transit	1	0.25	12.8747099	0.131	86.46	2.86	Mass	1.13	2.4	5977	1.2	1.38	4.24	0.33	0.65	0.25
Transit	1	-0.18	8.6001536	0.114	85.51	0.84	Mass	1.99	0.131	6161	1.54	3.21	3.61	1.129	0.066	-0.18
Transit	1	0	66.65062	0.02	89.9			0.19		4551	0.71	0.68	4.63	-0.762	3.18	0
Transit	1	0.16	35.23319	0.03	89.86			0.1		3748	0.54	0.52	4.74	-1.357	5.52	0.16
Transit	1	0.02	178.1396	0.03	89.95			0.2		5431	0.88	0.87	4.51	-0.236	1.89	0.02
Transit	1	0.15	3.2467293	0.066	84.96	1	Mass	1.09	0.93	5800	1.12	1.35	4.22		0.63	0.15
Transit	1	-0.3	101.11141	0.34	89.93			0.17		4134	0.57	0.56	4.71	-1.102	4.76	-0.3
Transit	1	-0.57	207.2482	0.1	89.97			0.15		4340	0.57	0.55	4.71	-1.051	4.94	-0.57
Transit	1	-0.37	112.3053	0.04	89.94			0.12		4402	0.61	0.6	4.67	-0.932	4.01	-0.37
Transit	1	-0.01	177.6693	0.11	89.94			0.21		4723	0.74	0.71	4.61	-0.664	2.96	-0.01
Transit	1	0.07	7.79430132	0.123	86.55	1.37	Mass	1.65	0.4	5493	1	1.05	4.4			0.07
Transit	1	0.28	2.455239	0.11	87	0.505	Mass	0.96	0.8	3820	0.59	0.55	4.7		4	0.28
Transit	1	0.21	384.843		89.806			0.145		5757	1.04	1.11	4.32		0.84	0.21
Transit	1	0.09	240.503	0.0359	89.443	0.00063	Mass	0.553		5527	0.94	0.83	4.57			0.09
Transit	1	0.04	8.31378306					0.23		5634	0.98	0.91	4.51			0.04
Transit	1	-0.06	84.6879808					0.336		7070	1.59	2.04	4.02			-0.06
Transit	1	-0.28	8.98101683					0.272		5661	0.87	0.9	4.47			-0.28
Transit	1	0.19	7.25696522					0.294		5933	1.21	1.59	4.11			0.19
Transit	1	0.09	9.94067247					0.263		6310	1.23	1.29	4.31			0.09
Transit	1	0.06	24.99324193					0.201		5809	1.05	1.37	4.18			0.06
Transit	1	0.1	38.47875707					1.19		5498	0.96	0.87	4.54			0.1
Transit	1	0.04	24.66919569					1.288		6613	1.4	1.66	4.14			0.04
Transit	1	0.07	5.01423457					1.335		6733	1.49	1.8	4.1			0.07
Transit	1	0.16	4.17625551					0.287		4996	0.85	0.78	4.59			0.16
Transit	1	0.12	14.55731705					0.364		5816	1.06	1.34	4.21			0.12
Transit	1	-0.01	5.66067294					0.273		5785	0.99	1.08	4.36			-0.01
Transit	1	0.21	3.10550819					0.222		5009	0.86	0.79	4.58			0.21
Transit	1	0.04	14.00640607					0.275		5837	1.03	1.09	4.38			0.04
Transit	1	-0.04	11.11990653					0.185		5240	0.87	0.79	4.58			-0.04
Transit	1	-0.03	13.2217576					0.242		5210	0.85	0.8	4.56			-0.03
Transit	1	-0.02	12.49341307					0.189		5247	0.86	0.81	4.56			-0.02
Transit	1	0.11	4.9195838					0.248		6322	1.25	1.34	4.28			0.11
Transit	1	0.03	10.06082567					0.223		5802	1.01	1.09	4.36			0.03
Transit	1	-0.13	56.35418576					0.211		4871	0.75	0.72	4.6			-0.13
Transit	1	0.09	30.229104					0.286		6346	1.28	1.47	4.21			0.09
Transit	1	-0.1	10.04556931					0.203		5668	0.96	0.87	4.54			-0.1
Transit	1	0.04	3.2432598					1.286		5958	1.07	1.09	4.39			0.04
Transit	1	-0.04	30.36044667					0.981		4926	0.79	0.75	4.6			-0.04
Transit	1	0.03	3.12082923					1.409		5970	1.07	1.09	4.39			0.03
Transit	1	0	17.27629612					0.689		5014	0.82	0.76	4.59			0
Transit	1	-0.02	3.26869515					1.039		6045	1.08	1.12	4.37			-0.02
Transit	1	0.37	4.22538451					0.796		5582	1.04	1.03	4.42			0.37
Transit	1	0.07	11.72012266					0.856		5527	0.94	0.91	4.5			0.07
Transit	1	0.11	3.00387658					1.35		6457	1.36	1.54	4.19			0.11
Transit	1	0.02	8.02511821					0.637		6007	1.1	1.26	4.28			0.02
Transit	1	-0.07	3.41303622					0.467		5346	0.86	0.83	4.55			-0.07
Transit	1	-0.03	8.30864937					0.207		5293	0.86	0.82	4.55			-0.03
Transit	1	0.24	3.57320367					0.539		5834	1.09	1.11	4.39			0.24
Transit	1	-0.04	9.61375356					0.27		5744	0.98	0.96	4.47			-0.04
Transit	1	0	5.63252845					0.194		5312	0.87	0.83	4.55			0
Transit	1	0.04	3.5484657		89.14	2.111	Mass	1.426	0.4	6297	1.37	1.79	3.96			0.04
Transit	1	0.03	8.5083244					0.23		5813	1.02	1.03	4.42			0.03
Transit	1	-0.03	5.64067757					0.384		5904	1.03	1.04	4.42			-0.03
Transit	1	0.05	4.28686431					0.426		6125	1.15	1.22	4.33			0.05
Transit	1	0.09	7.25844721					0.559		5754	1.01	1.01	4.44			0.09
Transit	1	-0.31	9.54927542					0.142		3519	0.33	0.33	4.94			-0.31
Transit	1	-0.19	27.52197994					0.232		3931	0.55	0.53	4.73			-0.19
Transit	1	0.09	6.8834055					0.244		6236	1.19	1.19	4.36			0.09
Transit	1	0.06	3.56809693					0.116		6113	1.16	1.32	4.26			0.06
Transit	1	0.18	25.30889748					0.146		6025	1.16	1.25	4.3			0.18
Transit	1	0.01	41.74600392					0.222		6060	1.1	1.2	4.32			0.01
Transit	1	-0.35	19.55659418					0.22		5746	0.91	1.41	4.09			-0.35
Transit	1	0.01	296.637865					0.567		5770	1	1.2	4.28			0.01
Transit	1	0.22	34.43587975					0.24		5997	1.17	1.3	4.28			0.22
Transit	1	-0.01	28.86235584					0.196		5849	1.02	1.06	4.39			-0.01
Transit	1	0.36	5.65179605					0.153		6106	1.28	1.44	4.23			0.36
Transit	1	0.08	19.96371318					0.13		5293	0.9	0.83	4.55			0.08
Transit	1	0.01	24.85462415					0.512		7099	1.62	2.02	4.04			0.01
Transit	1	-0.06	60.92832271					0.238		5690	0.95	0.98	4.43			-0.06
Transit	1	-0.23	8.51203588					0.188		5842	0.96	0.88	4.53			-0.23
Transit	1	0.01	24.3078946					0.187		5260	0.89	0.8	4.58			0.01
Transit	1	0.25	22.20813214					0.284		6406	1.34	1.46	4.24			0.25
Transit	1	0.41	38.58422849					0.616		6392	1.54	1.98	4.04			0.41
Transit	1	-0.03	5.83598311					0.175		5515	0.93	0.86	4.54			-0.03
Transit	1	0.11	18.68404933					0.235		5573	0.95	1.15	4.29			0.11
Transit	1	0.34	5.45849832					0.178		5894	1.15	1.14	4.38			0.34
Transit	1	0.03	13.28535633					0.253		6388	1.28	1.45	4.22			0.03
Transit	1	0.02	19.78297415					0.186		5807	1.01	1.06	4.39			0.02
Transit	1	-0.08	39.30941904					0.269		5697	0.97	0.89	4.53			-0.08
Transit	1	-0.03	29.88485741					0.248		4893	0.78	0.75	4.58			-0.03
Transit	1	0	12.92491623					0.229		5192	0.87	0.79	4.58			0
Transit	1	0.01	28.51120525					0.302		4758	0.78	0.72	4.61			0.01
Transit	1	0.01	15.95994513					0.2		5884	1.05	0.98	4.48			0.01
Transit	1	0.13	4.90332155					0.211		6123	1.18	1.27	4.3			0.13
Transit	1	0	1.8270823					0.277		5524	0.92	0.89	4.51			0
Transit	1	0.23	3.24755522					0.126		5763	1.07	0.99	4.47			0.23
Transit	1	-0.05	81.73780699					0.202		5650	0.96	0.9	4.51			-0.05
Transit	1	-0.1	172.7049784					0.242		5946	1.02	1.08	4.38			-0.1
Transit	1	0.07	5.08005848					0.3		6166	1.41	2.06	3.96			0.07
Transit	1	0.02	13.14497566					0.14		5526	0.93	0.9	4.5			0.02
Transit	1	-0.19	13.89961966					0.223		4671	0.7	0.67	4.63			-0.19
Transit	1	0.02	21.41616926					0.189		6206	1.16	1.22	4.33			0.02
Transit	1	0.03	13.24934059					0.24		5882	1.04	1.07	4.39			0.03
Transit	1	0.14	4.14702026					0.624		5967	1.11	1.15	4.36			0.14
Transit	1	0.01	6.01038429					0.357		4828	0.78	0.73	4.61			0.01
Transit	1	0	4.45419434					1.07		5535	0.93	0.9	4.5			0
Transit	1	-0.02	8.60010411					0.394		5322	0.87	0.83	4.55			-0.02
Transit	1	-0.09	12.3764661					0.244		4286	0.65	0.63	4.66			-0.09
Transit	1	0.01	5.26341577					0.352		5863	1.03	1.04	4.42			0.01
Transit	1	0.14	1.90220856					0.383		5447	0.93	0.92	4.49			0.14
Transit	1	0	16.21775407					0.252		5894	1.03	1.04	4.42			0
Transit	1	0.03	11.72292176					0.2		5740	1	0.98	4.46			0.03
Transit	1	0.02	3.70598955					0.238		6068	1.11	1.16	4.35			0.02
Transit	1	-0.06	29.00790538					0.211		5242	0.85	0.81	4.56			-0.06
Transit	1	0.03	17.58752333					0.322		5630	0.96	0.95	4.47			0.03
Transit	1	-0.39	18.47764449					0.153		3556	0.34	0.33	4.94			-0.39
Transit	1	-0.04	18.00931444					0.465		5575	0.93	0.9	4.5			-0.04
Transit	1	-0.08	22.18432708					0.276		5066	0.8	0.77	4.58			-0.08
Transit	1	-0.01	3.75083228					0.413		5626	0.95	0.92	4.49			-0.01
Transit	1	-0.02	4.24374723					0.325		5735	0.98	0.95	4.47			-0.02
Transit	1	-0.01	18.42794624					0.192		5132	0.83	0.79	4.57			-0.01
Transit	1	0	16.54297375					0.201		5148	0.84	0.79	4.57			0
Transit	1	0.11	11.02347475					0.202		3768	0.55	0.53	4.73			0.11
Transit	1	0.01	34.18890521					0.282		5616	0.95	0.93	4.48			0.01
Transit	1	0.06	4.301662					0.219		5496	0.93	0.9	4.5			0.06
Transit	1	0.01	4.79859939					0.236		5527	0.93	0.9	4.51			0.01
Transit	1	-0.1	17.20523483					0.23		5212	0.83	0.79	4.57			-0.1
Transit	1	0.02	22.18329658					0.249		5746	0.99	1.02	4.41			0.02
Transit	1	-0.01	7.65880414					0.213		5612	0.95	0.91	4.5			-0.01
Transit	1	0	9.37891944					0.213		5710	0.97	0.95	4.47			0
Transit	1	0.09	29.91136794					0.292		5672	0.99	0.97	4.46			0.09
Transit	1	-0.14	25.69578251					0.227		4984	0.78	0.73	4.61			-0.14
Transit	1	-0.03	1.6168837					0.178		5334	0.87	0.83	4.54			-0.03
Transit	1	0.13	9.66857723					0.178		5636	0.99	0.96	4.47			0.13
Transit	1	-0.06	8.22241966					0.229		4298	0.67	0.64	4.66			-0.06
Transit	1	0.03	40.6069821					0.235		5772	1	1	4.44			0.03
Transit	1	0.01	18.49235668					0.328		5564	0.93	0.91	4.49			0.01
Transit	1	0.07	6.5100253					0.203		5523	0.94	0.91	4.5			0.07
Transit	1	0.02	35.1810304					0.376		6195	1.17	1.24	4.31			0.02
Transit	1	0.03	2.75235975					0.252		5593	0.96	0.93	4.49			0.03
Transit	1	0	2.10472218					0.249		5575	0.94	0.92	4.5			0
Transit	1	-0.05	10.94027841					0.199		5549	0.92	0.89	4.51			-0.05
Transit	1	0	4.22162536					0.235		5835	1.01	1	4.44			0
Transit	1	0.01	16.54964934					0.203		5296	0.88	0.83	4.55			0.01
Transit	1	0.07	5.85296257					0.359		6000	1.1	1.15	4.35			0.07
Transit	1	0.01	81.1694299					0.302		5677	0.97	0.94	4.48			0.01
Transit	1	-0.03	2.82019241					0.213		5913	1.04	1.04	4.42			-0.03
Transit	1	0.04	21.21708973					0.256		5967	1.08	1.1	4.39			0.04
Transit	1	-0.03	13.64618192					0.194		5485	0.91	0.87	4.52			-0.03
Transit	1	0.08	25.30292332					0.34		5247	0.87	0.83	4.54			0.08
Transit	1	0.03	21.30022655					0.309		6267	1.21	1.32	4.27			0.03
Transit	1	-0.01	13.02365861					0.211		5683	0.97	0.95	4.47			-0.01
Transit	1	0.02	3.70175428					0.134		5307	0.87	0.86	4.51			0.02
Transit	1	-0.02	15.65562652					0.253		5127	0.83	0.79	4.57			-0.02
Transit	1	0.34	3.2346996		88.93	0.668	Mass	1.304	0.4	5647	1.21	1.39	4.24			0.34
Transit	1	-0.09	23.67517607					0.259		5279	0.84	0.81	4.56			-0.09
Transit	1	-0.02	5.37886844					0.17		5160	0.85	0.79	4.57			-0.02
Transit	1	-0.02	15.28469497					0.186		6062	1.08	1.13	4.37			-0.02
Transit	1	-0.02	25.85501786					0.231		5890	1.02	1.03	4.42			-0.02
Transit	1	0.01	24.31575992					0.295		6161	1.13	1.22	4.32			0.01
Transit	1	-0.02	0.6381632					0.078		5196	0.84	0.8	4.56			-0.02
Transit	1	-0.02	6.41251504					0.325		5820	1	1.01	4.43			-0.02
Transit	1	0.06	6.52121067					0.299		5971	1.09	1.14	4.36			0.06
Transit	1	0.03	59.87756	0.25	89.8			0.192		4017	0.64	0.62	4.75			0.03
Transit	1	0.06	2.4370333					0.147		5761	1.01	1.01	4.43			0.06
Transit	1	0.04	3.72215641					0.253		5693	0.98	0.96	4.46			0.04
Transit	1	-0.01	15.77979614					0.204		5723	0.98	0.96	4.47			-0.01
Transit	1	-0.07	14.03491514					0.213		5268	0.85	0.81	4.55			-0.07
Transit	1	-0.07	10.35584657					0.155		4655	0.73	0.69	4.62			-0.07
Transit	1	-0.07	1.68269615					0.118		3712	0.51	0.48	4.77			-0.07
Transit	1	0.08	3.59576964					0.232		5860	1.05	1.08	4.39			0.08
Transit	1	0.03	12.91375431					0.296		6155	1.15	1.22	4.33			0.03
Transit	1	-0.02	2.62811375					0.205		4521	0.72	0.68	4.63			-0.02
Transit	1	-0.09	14.28226676					0.19		4201	0.64	0.61	4.67			-0.09
Transit	1	-0.03	9.07097734					0.269		5443	0.9	0.86	4.53			-0.03
Transit	1	-0.06	14.58649607					0.206		6117	1.1	1.18	4.33			-0.06
Transit	1	0.01	14.48585199					0.204		5813	1.01	1.05	4.4			0.01
Transit	1	0.05	40.6994443					0.333		6424	1.3	1.49	4.21			0.05
Transit	1	0.04	15.4580567					0.749		5721	1	1.28	4.22			0.04
Transit	1	0.01	7.2385854					0.123		5444	0.93	0.84	4.55			0.01
Transit	1	0.05	9.4341505	0.45	87.806	0.378	Mass	0.545	3	5576	0.98	0.9	4.52	-0.157	1.895	0.05
Transit	1	0.03	161.4743937					0.284		5829	1.02	1.04	4.42			0.03
Transit	1	0.23	17.97979059					0.259		6185	1.24	1.33	4.28			0.23
Transit	1	0.11	30.99660733					0.197		5322	0.91	0.84	4.55			0.11
Transit	1	-0.05	8.50340718					0.145		5899	1.02	1.15	4.32			-0.05
Transit	1	-0.18	5.16950177					0.169		6075	1.03	1.24	4.26			-0.18
Transit	1	0.41	23.44971004					0.236		6174	1.33	1.51	4.2			0.41
Transit	1	-0.02	16.08066115					0.397		5203	0.85	0.8	4.56			-0.02
Transit	1	0.38	23.20584623					0.424		6096	1.64	2.56	3.84			0.38
Transit	1	0.04	6.07972888					0.163		5382	0.88	0.93	4.43			0.04
Transit	1	0.23	10.21420496					0.212		5896	1.14	1.29	4.27			0.23
Transit	1	0.15	22.24813967					0.228		5653	1.01	0.94	4.5			0.15
Transit	1	0.15	9.48961571					0.165		5713	1.02	1.13	4.33			0.15
Transit	1	0.06	4.41745855					0.259		6570	1.4	1.66	4.14			0.06
Transit	1	0.13	16.33889626					0.906		4908	1	2.52	3.64			0.13
Transit	1	0.08	3.1739171					0.281		6747	1.49	1.81	4.09			0.08
Transit	1	-0.01	3.27582262					0.187		6170	1.13	1.21	4.33			-0.01
Transit	1	-0.07	15.87364565					0.178		5634	0.93	0.91	4.49			-0.07
Transit	1	-0.14	16.2254649					0.104		6020	1.03	1.07	4.39			-0.14
Transit	1	0.21	17.4211749					0.287		5741	1.05	0.98	4.48			0.21
Transit	1	-0.17	29.90722674					0.202		5871	0.97	0.94	4.48			-0.17
Transit	1	0.13	3.03214559					0.264		5849	1.08	1.35	4.21			0.13
Transit	1	-0.04	21.38521506					0.211		5522	0.92	0.87	4.53			-0.04
Transit	1	0.17	4.18200253					0.222		5490	0.97	0.88	4.54			0.17
Transit	1	0.04	13.72465129					0.185		5865	1.04	1.11	4.36			0.04
Transit	1	0	46.4063358					0.242		6170	1.15	1.24	4.31			0
Transit	1	-0.04	1.26025909					0.278		5281	0.86	0.82	4.56			-0.04
Transit	1	0.03	24.54350418					0.314		5808	1.01	1.01	4.44			0.03
Transit	1	-0.04	1.28707676					0.145		4103	0.63	0.6	4.68			-0.04
Transit	1	0.02	17.671796					0.223		4870	0.79	0.74	4.6			0.02
Transit	1	-0.2	17.815815					0.25		5962	1.04	0.97	4.48		1.62	-0.2
Transit	1	-0.07	9.27358194					0.229		4779	0.75	0.71	4.61			-0.07
Transit	1	-0.05	6.02930132					0.274		4483	0.7	0.67	4.64			-0.05
Transit	1	-0.03	21.67697486					0.194		4897	0.79	0.74	4.6			-0.03
Transit	1	0.03	4.99678284					0.232		5264	0.86	0.82	4.55			0.03
Transit	1	0.07	2.52559332					0.237		5754	1.01	1.02	4.43			0.07
Transit	1	-0.03	16.01310205					0.232		4913	0.79	0.74	4.6			-0.03
Transit	1	0.01	4.49876092					0.214		5887	1.03	1.05	4.41			0.01
Transit	1	0.15	41.43962808					0.422		5327	0.91	0.87	4.53			0.15
Transit	1	-0.06	8.35390639					0.241		5352	0.87	0.82	4.55			-0.06
Transit	1	0.14	4.12554687					0.431		6038	1.15	1.2	4.34			0.14
Transit	1	-0.2	15.7259					0.262		5331	0.86	0.78	4.59		2.66	-0.2
Transit	1	0.07	2.81650485					1.176		5709	0.99	0.99	4.44			0.07
Transit	1	0.08	4.28095859					0.24		5624	0.97	0.95	4.47			0.08
Transit	1	-0.01	38.3774623					0.223		5627	0.95	0.92	4.5			-0.01
Transit	1	0	3.72873109					0.583		5355	0.88	0.84	4.54			0
Transit	1	-0.27	2.24338185					0.151		4192	0.6	0.57	4.69			-0.27
Transit	1	-0.05	2.33743801					0.218		4945	0.79	0.75	4.6			-0.05
Transit	1	-0.02	11.59822172					0.271		3701	0.51	0.49	4.77			-0.02
Transit	1	0.06	6.57531678					0.48		5723	1	0.99	4.45			0.06
Transit	1	0.07	7.27503724					0.459		5520	0.94	0.91	4.5			0.07
Transit	1	-0.09	12.39358604					0.269		5403	0.87	0.84	4.54			-0.09
Transit	1	0.13	3.68992629					0.216		5890	1.08	1.11	4.38			0.13
